Команда;игр;побед;проигрышей;ничьих;голов;голы минус голы соперника
Астра (ж);12;7;4;1;31;11
Теннис-Боруссия Берлин;12;4;5;3;25;4
ОКС;12;3;5;4;22;-1
Нади ФК;12;5;5;2;19;3
Сфида Сетагая (ж);12;8;2;2;24;11
Влашич Н;12;0;4;8;4;-4
Скарборо Атлетик;12;4;6;2;15;-4
ТСВ Ильсхофен;12;3;7;2;15;-13
Шпортфройнде Дорфмеркинген;12;4;3;5;15;4
Ройтлинген;12;4;6;2;18;-11
Спартак Туймазы;12;5;5;2;22;9
Янгон Юн;12;8;2;2;35;21
Надьканижаи;12;4;5;3;21;5
Граничар Жупаня;12;4;3;5;19;3
Рилазинген-Арлен;12;5;3;4;18;-1
Леррах-Бромбах;12;2;8;2;16;-13
Дерри Сити (ж);12;1;11;0;5;-52
Фламенго (ж);12;6;3;3;32;21
Славия Плетерница;12;2;9;1;7;-23
Зулте-Варегем (ж);12;2;7;3;11;-25
Кингс Лэнгли;12;4;2;6;19;4
Кеттеринг Т;12;5;5;2;19;5
Зволле (ж);12;2;6;4;14;-14
Манчестер С (ж);12;7;2;3;28;14
Пакш U19;12;1;9;2;14;-25
Буковина Черновцы;12;3;7;2;13;-5
Атлетико Санто Доминго;12;3;4;5;7;-3
Сплит;12;5;6;1;17;-2
Кит-Го Пехчево;12;6;5;1;19;-2
Дрита ФК;12;5;5;2;14;-3
Кораби;12;5;3;4;12;3
Асерри;12;2;6;4;11;-9
Гамбург-2;12;5;4;3;22;6
Биллерикей;12;4;4;4;22;7
Аaлен;12;3;5;4;14;-5
Испания;12;6;1;5;21;14
Швейцария;12;5;4;3;19;2
Болгария;12;1;7;4;8;-8
Ирландия;12;1;6;5;5;-7
Венгрия;12;7;1;4;25;12
Косово;12;3;7;2;15;-2
Греция;12;6;1;5;14;7
Мальта;12;4;4;4;16;-1
Алмаз-Антей U21;12;6;6;0;27;9
Австрия;12;7;3;2;21;4
Богнор Реджис Т;12;7;3;2;22;10
Россия U21;12;7;4;1;29;17
Штайнбах 1920;12;4;5;3;15;-2
Фуэрца Амарилья;12;0;4;8;2;-8
Босния и Герцеговина;12;0;7;5;6;-12
Литва;12;4;6;2;10;-7
Барвелл;12;3;8;1;13;-13
Коринтиан-Кэжуалс;12;5;5;2;18;0
Тамуорт;12;5;4;3;22;0
Партизани Тирана;12;6;1;5;18;9
Оффенбахер Киккерс;12;7;1;4;23;18
Бухония Флиден;12;5;4;3;20;3
Хунфельдер;12;2;7;3;8;-15
Виктория Грисхейм;12;2;6;4;12;-4
Маккаби Кабилио Яффа U19;12;8;2;2;21;14
Исси ГПСО 92 (ж);12;2;9;1;8;-45
Азербайджан;12;1;7;4;6;-7
Черногория;12;7;2;3;18;12
Эстония;12;1;8;3;11;-16
Сан-Марино;12;0;10;2;1;-37
Барокштадт Фульда-Ленерц;12;11;1;0;30;22
Бад Фильбель;12;3;5;4;12;-2
Рот-Вайс Хадамар;12;6;5;1;15;0
Кариари;12;4;5;3;15;-2
Аякс (ж);12;7;4;1;24;8
Олимпия Клуж (ж);12;10;2;0;64;55
Уитби Т;12;3;5;4;17;-4
Кабофриенсе U20;12;1;11;0;12;-25
Арука;12;6;1;5;14;9
Бунедкор-2;12;6;4;2;20;3
Пахтакор-2;12;8;3;1;32;20
Аштон Юн;12;4;5;3;13;-7
Ханау;12;7;3;2;30;13
Портимоненси U23;12;2;7;3;11;-6
Стиинта Мирослава;12;7;3;2;29;15
Нонг Буа Ламппху;12;8;0;4;21;15
Кова-да-Пьедаде;12;4;5;3;16;-3
Каса-Пиа;12;3;4;5;16;-11
Вилафранкенше;12;3;4;5;16;-5
Комграп;12;6;4;2;28;14
АЕЛ Чемпионс (ж);12;2;8;2;24;-10
Пенафьел;12;5;4;3;21;3
Арыс;12;6;3;3;19;3
Жетысу-2;12;6;3;3;20;7
Краснодар(2);12;9;2;1;24;15
Чертаново(2);12;1;8;3;14;-21
Ингулец Петрово U21;12;2;10;0;9;-34
Индустрия Галда;12;1;10;1;10;-19
Бангкок Гласс;12;11;0;1;26;19
Леонес Негрос-2;12;3;6;3;16;-7
Бишопс;12;8;0;4;27;16
Поттерс Бар Таун;12;4;7;1;16;0
Фолкстоун Инвикта;12;5;6;1;18;-1
Лейстон ФК;12;2;6;4;22;-7
Нанитон Боро;12;5;5;2;21;1
Ройстон Т;12;5;3;4;20;3
Пучаоса;12;5;4;3;17;1
Виторул Даэшти;12;4;3;5;20;3
Лучафэрул Орадя;12;1;8;3;17;-11
Ени Ордуспор;12;6;2;4;17;7
Манисаспор;12;1;7;4;7;-7
Текирдагспор;12;2;6;4;11;-9
Браганса;12;2;7;3;8;-6
Ли Ман ФК;12;4;4;4;21;9
Дегенхэм энд Редбридж;12;5;4;3;12;0
Марск Юн;12;8;2;2;29;13
Ноджом Эль-Мостабель;12;4;6;2;14;1
Дуранго;12;5;3;4;12;3
Пескара U19;12;7;1;4;38;21
Тиамо Хираката;12;6;1;5;18;9
Гремио Порту Алегри U20;12;6;4;2;22;2
Кукута Депортиво;12;4;6;2;17;-7
Ротор Волгоград(2);12;0;9;3;9;-20
Эбро;12;4;4;4;8;-6
Эль-Минья;12;7;1;4;16;6
Этуаль Филант;12;5;4;3;14;5
Атлетико Терме Фьюджи;12;2;3;7;18;-2
Ликата;12;4;6;2;14;-2
АКР Мессина;12;7;2;3;16;8
Кармиотисса Хрисомилия (ж);12;3;7;2;12;-14
ГКС Катовице (ж);12;4;4;4;20;2
Мешко Гнезно;12;0;11;1;3;-37
Бангкок;12;7;2;3;32;19
Саймит Кабин Юн;12;5;2;5;10;0
Индепендьенте;12;5;3;4;17;4
Янг Бойз;12;9;0;3;26;18
Атлетико Ибанес;12;3;3;6;8;-3
Комерсиал Рибейрао Прето;12;4;4;4;15;2
Бергхайм (ж);12;4;6;2;20;-7
Байрампашаспор;12;5;3;4;23;11
Бенфика СЛ (ж);12;11;1;0;39;30
Глостер;12;9;1;2;37;21
Ст. Олбанс;12;6;3;3;15;4
Апаресида U20;12;5;5;2;22;2
Аль-Маади (ж);12;6;6;0;21;4
Райт Роверс;12;5;3;4;23;7
Харабакоа;12;1;5;6;11;-12
Ассумптион Юн;12;4;5;3;10;-4
Санто Доминго;12;3;4;5;11;-1
Атлетико Вега Реал;12;5;2;5;21;9
Джейханспор;12;3;5;4;14;-13
Мильонариос (ж);12;5;5;2;20;5
Соррисо;12;2;6;4;14;-12
Панадерия Пулидо;12;8;1;3;14;9
Херес КД;12;7;2;3;13;7
Бенфика Макао;12;10;2;0;77;64
Итараре СП;12;6;4;2;20;7
Освальдо Круз СП;12;6;4;2;12;1
Сеара U23;12;10;2;0;23;15
Марте Сояпанго;12;5;6;1;20;0
Фундасьон Альбасете (ж);12;9;1;2;30;14
Мауа;12;6;3;3;15;7
Тонбури Юн.;12;4;4;4;19;6
Ванспор;12;5;6;1;11;0
Санта-Фе (ж);12;10;1;1;36;27
Жувентуд Кашиас Ду Сул U23;12;3;4;5;8;-8
Тирадентес (ж);12;5;6;1;20;-4
Паркесоль (ж);12;5;4;3;19;3
Атлетико Минейро (ж);12;8;1;3;23;16
Депортиво Коопсоль;12;3;7;2;6;-7
Алондрас;12;5;3;4;16;5
Аль-Талаба;12;4;6;2;14;-1
Эль Эстор (ж);12;2;5;5;10;-11
Содупе;12;5;4;3;22;9
Волунтари U19;12;7;3;2;25;7
Аль-Вакра U23;12;7;4;1;17;6
Хартс оф Оак;12;5;3;4;17;7
Герника;12;7;1;4;27;18
Атлетико Эль-Вихья;12;3;6;3;15;-4
Уренья;12;6;1;5;16;8
Унив. Сентрал Венесуэла;12;5;1;6;10;6
Рипенсия Тимишоара U19;12;6;3;3;32;16
Фансеса;12;8;3;1;31;13
ФК Чернигов;12;2;6;4;8;-6
Интер Аллиес;12;2;9;1;4;-9
7 Апреля РЖ;12;6;1;5;29;18
Палестиниан Форсес;12;6;4;2;15;0
Чаченсау;12;9;2;1;31;26
Плуакдаенг Районг Юнайтед;12;6;2;4;23;15
Ренессанс Фигиль (ж);12;2;8;2;4;-13
Эклер де Саа (ж);12;6;4;2;17;7
Ирони Тиверия;12;5;4;3;17;5
Камузу Барракс;12;2;6;4;12;-6
Рибамонтан;12;1;7;4;5;-10
Фуэнсалида (ж);12;3;8;1;13;-18
Баркереньо;12;3;6;3;6;-9
Алаурин;12;3;6;3;11;-9
Уганда U20;12;7;3;2;25;12
Аль-Наджаф;12;8;2;2;16;11
Сурхон;12;3;7;2;11;-9
Прогресул Спартак 1944;12;8;3;1;23;9
ФК Университатя Крайова;12;4;4;4;9;0
УАИ Уркиса (ж);12;11;0;1;46;37
Форвард Уондерерс;12;4;3;5;13;3
Оксфорд Сити;12;9;1;2;30;18
Сиркуло Депортиво;12;0;7;5;4;-9
Бока Унидос;12;4;3;5;16;1
Кумбая;12;7;3;2;14;4
Альмудевар;12;3;4;5;12;-6
Иглз;12;3;5;4;15;-11
Вильянуэва-дель-Пардильо;12;5;4;3;8;-1
АД Сан Хуан;12;9;1;2;19;17
Муранга Сил;12;4;6;2;13;0
Юнайтед Виктори;12;3;7;2;19;-5
Платхес-де-Кальвия;12;7;1;4;20;11
Бейтар Кфар-Саба Шломи;12;4;5;3;11;-3
Хапоэль Лод;12;8;3;1;26;11
Гадна Тель-Авив U19;12;5;5;2;16;4
Барбастро;12;5;3;4;16;3
Жувентуде МА;12;2;5;5;12;-2
Сан Луис;12;3;5;4;10;-9
Бейтар Петах-Тиква;12;2;7;3;13;-13
Хапоэль Гедера;12;3;8;1;14;-17
Кастелнуово Вомано;12;2;6;4;16;-10
Этихад Салар U23;12;0;8;4;5;-31
ПАС Хамедан U23;12;2;5;5;10;-3
Хоттин U21;12;2;6;4;7;-4
Аль-Навейр U21;12;6;3;3;18;6
Санремезе;12;4;5;3;14;1
Сохаг;12;3;8;1;11;-6
Ньюкасл Джетс (ж);12;2;9;1;14;-7
Констансия;12;8;1;3;18;14
Нассаджи Мазандаран U23;12;7;2;3;20;11
Абипошан U23;12;5;3;4;16;4
Зу Керичо;12;0;8;4;6;-13
АФК Леопардс;12;7;3;2;13;4
Горе;12;1;5;6;8;-7
Кибера Блэк Старс;12;4;4;4;13;-3
Лестер Сити (ж);12;10;2;0;24;20
Атлетико Академи;12;6;5;1;16;1
АСК;12;5;4;3;20;8
Расинг Кордоба;12;10;0;2;22;19
Инкам Такс;12;0;12;0;8;-67
Стьюдентс Юнион;12;6;4;2;18;3
Нафт Тегеран U23;12;5;5;2;13;-9
Таршин Рэйнбоуз;12;5;5;2;17;-6
АДЕ ФК;12;1;9;2;4;-26
Джарра Вест;12;2;4;6;15;-4
Бангалор-2;12;10;2;0;38;28
Донгтхап U19;12;6;1;5;24;10
Вульчанка Вулька-Пелкиньска;12;2;8;2;13;-13
Кассино 1924;12;2;3;7;14;-2
Манчестер Юнайтед (ж);12;7;5;0;17;6
ТП Хо Ши Мин;12;4;6;2;14;-3
Куангнинь;12;6;5;1;12;1
Шахтер-Петриков;12;5;3;4;22;4
Аль-Халедж Сайхат;12;3;5;4;11;-8
Трибхуван Арми (ж);12;8;2;2;56;49
Халидия;12;10;1;1;22;16
Валлетта;12;6;5;1;12;-5
Царско Село;12;5;4;3;18;5
Радунья Стенжица;12;8;2;2;40;28
ЕИФ Экенас;12;5;5;2;18;0
Норшелланн (ж);12;3;9;0;11;-18
Таллиндинг Юн;12;1;5;6;8;-4
КС Висла Пулавы;12;9;2;1;28;19
Марказ Шабаб Самоста;12;3;4;5;9;-2
ВПК-Агро;12;6;3;3;14;-1
Агуакатерос Уруапан;12;5;4;3;20;6
ФК Ренова;12;3;5;4;14;-4
Бечем;12;3;6;3;11;-9
Караджабей Беледиеспор;12;4;4;4;14;2
Аль-Кува Аль-Джавия;12;5;5;2;15;3
Дельфы (ж);12;2;8;2;11;-26
Атлетико Сан-Тельмо;12;4;2;6;14;-1
Африка Спортс;12;2;4;6;9;-3
Валюр Рейкьявик;12;7;0;5;32;18
Каштру-Дайри;12;6;4;2;15;1
Мерелиненсе;12;6;4;2;18;7
Монкарапашенси;12;3;3;6;11;-3
Конкордия Санта-Катарина;12;2;6;4;11;-5
Фортис;12;4;3;5;13;5
Крус Асул (ж);12;4;6;2;13;-5
Левски Лом;12;10;1;1;47;38
Костал Юнион;12;5;6;1;10;-7
Бенфика Каштелу-Бранку;12;5;2;5;17;4
МСП Батна U21;12;5;5;2;16;-3
Саут Ист Юнайтед;12;0;9;3;9;-21
МКБ Уэд Сли;12;9;1;2;22;15
УС Ремши U21;12;3;7;2;16;-4
Нимба Юнайтед;12;2;6;4;13;-9
Онсе Депортиво Ауачапан (ж);12;1;10;1;9;-52
Мурсия-2;12;6;3;3;23;9
Кингсклифф Дистрикт;12;5;4;3;40;16
ИБ Лахдария U21;12;3;5;4;11;-7
Химнасия Ла-Плата (р);12;4;4;4;14;1
Реал Унион Ирун;12;6;5;1;13;4
Вест Торренс Биркалла СК;12;7;4;1;22;8
Телефонаат Бени Сувейф;12;5;3;4;12;4
Альворадо;12;4;5;3;12;0
Кэпитал КФ;12;6;3;3;14;6
Расинг Клуб Абиджан;12;4;2;6;12;0
Кальмар ФФ;12;4;3;5;10;-2
Форрестфилд Юнайтед;12;5;5;2;24;2
Вихрен Сандански;12;9;2;1;24;16
Роччелла;12;1;10;1;9;-20
Академия Пуэрто Кабельо;12;1;5;6;9;-7
да/нет;12;7;1;4;7;-18
Йенчепингс Седра;12;5;5;2;18;1
Загорец Крапина;12;7;4;1;30;14
Сан-Франциско (р);12;2;8;2;13;-11
УДЕЛАС;12;3;8;1;13;-7
ЮС Форсис Армис;12;5;3;4;11;0
Олимпия Уорриорс (ж);12;9;2;1;33;24
Сан-Бенту;12;1;5;6;8;-6
Бенту-Гонсалвис;12;2;7;3;9;-11
Сан-Жозе Порту-Алегри;12;4;5;3;10;-2
Колон С-3;12;2;8;2;11;-15
Полис Уагадугу;12;3;4;5;12;-2
Этуаль Филант Уагадугу;12;3;8;1;10;-5
Гвэлуп Кроэйша;12;4;3;5;27;7
Боавишта Сакуарема;12;3;4;5;17;0
Шумадия Аранджеловац;12;2;9;1;9;-19
Бонниригг Уайт Иглз U20;12;3;7;2;19;-7
Сент-Джордж Сэйнтс U20;12;3;7;2;24;-4
Лайонс ФК Брисбен (ж);12;11;0;1;68;59
Саншайн Кост Уондерерс (ж);12;5;4;3;26;1
Негри-Сембилан;12;7;1;4;18;9
Хвасон;12;4;5;3;14;-3
Туна Лузо;12;4;3;5;22;4
Смедерево 1924;12;5;3;4;22;10
Редлэндс Юнайтед;12;2;10;0;16;-21
Коян Ситизен;12;2;7;3;14;-15
Эль-Порвенир Буэнос-Айрес;12;5;6;1;11;-4
Абериствит Таун (ж);12;1;9;2;4;-24
Принцеса ду Солимоэс;12;5;1;6;20;5
Депортиво Ачуапа;12;3;7;2;13;-7
Депортиво Антигуа;12;2;3;7;12;-4
Париж ФК;12;4;2;6;15;5
КФУМ Роскилле;12;2;8;2;13;-5
Брисбен Сити;12;11;0;1;40;32
Аудакс Сан-Паулу;12;3;5;4;4;-7
Гурник Ленчна (ж);12;9;3;0;48;36
Хеккен (ж);12;8;2;2;23;13
Норткот Сити;12;6;2;4;21;8
Брансвик Сити;12;7;2;3;26;11
ФК Валмиера;12;8;2;2;18;9
Сентраль Кордоба Росарио;12;8;1;3;12;6
Пирос Секьюрити (ж);12;6;4;2;26;2
Фортуна Бечикерику-Мик (ж);12;4;6;2;29;6
Суонси Сити (ж);12;9;0;3;38;38
Порт-Толбот Таун (ж);12;6;3;3;23;3
Янг Лайонс;12;0;8;4;10;-24
ФКУ Олимпия Клуж (ж);12;11;0;1;55;49
Ингольштадт 04 (ж);12;5;3;4;23;4
Вюрцбургер Киккерс (ж);12;2;9;1;12;-15
Саарбрюкен (ж);12;3;5;4;22;-4
ФФК 08 Нидеркирхен (ж);12;0;10;2;2;-44
Флуминенсе Терезина;12;6;4;2;19;5
Уотер;12;2;8;2;11;-7
Аруа Хилл;12;6;1;5;20;10
Канберра Кроэйша;12;7;3;2;32;20
Адамстаун Роузбад;12;2;10;0;15;-21
Атланта Юнайтед;12;4;2;6;12;1
Алмопос Аридеас;12;3;4;5;12;-1
Танда;12;3;8;1;8;-7
Салгейру;12;3;6;3;12;-5
ФК Калитея;12;7;3;2;18;7
Европа ФК;12;7;4;1;23;7
СМИ автотранс;11;4;5;2;25;-4
Горки;11;6;4;1;22;9
Кронон;11;1;6;4;9;-27
Шахтер Петриков;11;7;3;1;30;19
Жлобин;11;1;9;1;4;-61
Виктория Пльзень U19;11;5;4;2;23;3
Эйгл Нуар;11;5;1;5;19;12
ДЮСШ Столин;11;2;7;2;26;-11
Динамо Ливинг Эир;11;9;2;0;14;5
Юни Минск;11;9;1;1;28;18
Ширак-2;11;4;5;2;21;-9
Брсково;11;3;5;3;15;-7
Искра Даниловград U19;11;6;2;3;19;9
Будучность U19;11;7;2;2;24;16
Рудар Плевля U19;11;5;4;2;17;3
Юниор Севан;11;6;4;1;28;10
Софит;11;0;11;0;12;-73
Авеш;11;1;9;1;1;-23
Ерв;11;5;4;2;20;1
Б-12 Минск;11;3;6;2;15;-8
ПФК Александрия;11;3;5;3;21;-3
ТПК;11;5;4;2;17;3
Запад 3;11;3;6;2;28;-3
Бонг Да Хюэ;11;3;5;3;12;-6
Хошимин U19;11;0;11;0;4;-18
ВПС Вааса;11;5;3;3;19;3
Марказ Аль-Амари;11;6;3;2;23;13
Мачулищи;11;5;5;1;16;1
Судурой;11;6;5;0;32;9
Скала-2;11;9;1;1;42;34
ЯПС/47;11;1;9;1;16;-21
КюПa;11;1;9;1;11;-19
КПВ Акатемиа;11;6;2;3;20;12
Калев Таллин (ж);11;7;4;0;24;7
Сильван;11;6;1;4;19;11
Суперспорт София (ж);11;3;8;0;18;-5
Карлбергс;11;5;3;3;20;11
Фагерста Содра;11;1;9;1;9;-34
Стоксунд;11;4;4;3;15;0
Марказ Аскар;11;4;5;2;13;-3
Злин-2;11;4;4;3;18;0
Фрам Рейкьявик U19;11;7;2;2;26;13
Норвалла ФФ Войри;11;4;4;3;24;5
голы Лейпциг;11;5;4;2;21;-1
ЦСКА 1948;11;6;1;4;23;11
ЕуПа;11;1;7;3;11;-17
Корснас;11;5;3;3;18;2
НСИ Рунавик (ж);11;4;4;3;23;0
Столица Минск;11;2;8;1;15;-31
Бьеловар;11;4;3;4;28;15
голы Атлетико Мадрид;11;5;5;1;17;-5
Трапани;11;6;2;3;17;6
Румори Кальчио;11;0;7;4;17;-15
голы Аталанта;11;3;4;4;18;-2
Жальгирис Вильнюс (ж);11;7;3;1;33;15
Инсинье Л;11;3;1;7;5;2
Лудогорец-2;11;6;4;1;21;7
Тампере Ткт;11;4;6;1;16;-4
Вахдат;11;4;3;4;31;8
АИФК Турку;11;6;5;0;19;3
Эспоо Тикка;11;3;7;1;22;-8
Исфара;11;6;5;0;20;-3
Динамо Рига;11;3;6;2;11;-3
Пато;11;3;7;1;11;-37
Реал Ирвайн;11;4;6;1;18;-10
Синдри;11;1;6;4;11;-17
Ст. Паули-2;11;5;5;1;18;-4
Метро Юн (р) (ж);11;5;6;0;25;6
Аделаида Универ (р) (ж);11;8;1;2;25;6
АКК Минск;11;4;6;1;16;-7
Скай Блю (ж);11;3;6;2;10;-4
Мората А;11;1;4;6;3;-4
Вильнюс БФА Б;11;4;5;2;15;-6
Жальгирис Каунас (ж);11;6;3;2;18;-6
Кызылкум (ж);11;2;9;0;6;-43
Тесла Стропков;11;6;3;2;24;11
Серкль Брюгге;11;5;3;3;17;0
Диаспора Юнайтед;11;6;2;3;29;5
Элмо Адаб;11;0;8;3;5;-30
Арагви;11;5;5;1;9;-2
Баркчи Хисор;11;4;5;2;21;1
Ярота Ярочин;11;5;3;3;27;12
Рача Братислава;11;7;3;1;33;14
Колос Гомель;11;4;5;2;27;-1
Дачия Буюканы;11;5;3;3;15;5
Нью-Лэмбтон ФК;11;7;3;1;28;14
Номэдс Юн.;11;6;4;1;28;8
Смена Волковыск;11;4;3;4;20;0
Штраусберг;11;3;6;2;16;-4
Роналду К;11;6;1;4;10;8
голы Милан;11;6;3;2;25;8
Нефтохимик Бургас;11;1;7;3;8;-17
ФК Рязань;11;6;4;1;26;6
Слован Либерец-2;11;6;4;1;29;6
Млада Болеслав-2;11;7;4;0;22;1
Цегледи;11;2;8;1;13;-5
Легион Ивантеевка;11;6;3;2;35;12
Бангор Селтик;11;5;3;3;23;11
Лидер Днепр;11;10;0;1;47;34
Кингборо Лайонс-2;11;2;8;1;12;-18
Саут Хобарт-2;11;5;6;0;24;-3
Олимпия Уорриорз-2;11;8;3;0;25;13
Канберра;11;9;0;2;29;19
Хобарт Юн (р);11;3;6;2;22;-18
Пакаронгай;11;0;11;0;7;-88
КПК;11;10;0;1;59;55
Сан-Паулу Кристал;11;3;3;5;12;5
Мелахайд Юн;11;9;1;1;29;22
Хакоах Сидней С;11;3;7;1;13;-10
Гангалин Юн;11;4;3;4;19;2
Вуден Вестон;11;4;6;1;12;-8
АПИА Лайчхард Тайгерс (ж);11;5;4;2;19;5
Бичсайд (р) (ж);11;8;3;0;36;21
Таруна (р) (ж);11;11;0;0;71;63
Слау Т;11;2;7;2;13;-11
Де Трефферс;11;1;8;2;5;-14
Марсьяль А;11;1;1;9;1;0
Пуасси;11;0;8;3;7;-11
Донау СВ;11;2;4;5;14;-5
КИФ Эребру (ж);11;4;5;2;14;-8
СК Днепр-1;11;6;2;3;20;11
Хольцвиккедер;11;7;2;2;26;15
Ранавей Бэй Грин;11;3;5;3;18;-6
Радуня Стенжица;11;8;2;1;31;20
Лонсестон С-2;11;2;8;1;17;-15
Акаба;11;3;4;4;10;-1
Брук/Лайта;11;7;4;0;29;15
Носабю;11;6;4;1;25;7
Норт-Шор Маринерс U20;11;2;7;2;10;-19
АПИА Лайчхард Тайгерс;11;2;8;1;12;-15
Маркони Сталлионс;11;4;5;2;14;0
Норт-Шор Маринерс;11;2;5;4;11;-7
Эннепетал;11;6;3;2;24;6
Ваккер-2 Инсбрук;11;4;3;4;24;8
Уотерфорд Юн;11;4;5;2;13;-3
Виторул Констанца U19;11;7;3;1;40;22
Земплин Михаловце U19;11;3;7;1;10;-15
Дукла Банска-Быстрица U19;11;4;4;3;15;0
Попрад U19;11;6;3;2;16;-1
Маркони Сталлионс U20;11;5;4;2;13;-4
Гранж Тистл (ж);11;4;7;0;10;-25
Блументалер;11;5;3;3;34;16
Вуллонгонг Вулвз;11;7;4;0;21;7
Мт-Дрюитт Таун;11;2;6;3;11;-11
Вестерн Сидней U21;11;2;7;2;14;-8
Варта Гожув;11;4;6;1;13;-10
Траял U19;11;1;7;3;6;-18
Мауэрверк;11;4;7;0;12;-11
Прогресул Бухарест;11;3;6;2;20;3
Рапперсвиль-Иона;11;5;5;1;22;5
Саут Кардифф;11;3;7;1;21;-7
Варберг ГИФ;11;4;4;3;20;0
Марса;11;4;2;5;19;6
Хоэнемс;11;8;1;2;33;18
Банско ФК;11;0;10;1;3;-20
Розово Долина Казанлык;11;4;5;2;20;-3
Карнобат;11;3;3;5;16;-2
Братство Граканика;11;5;4;2;15;4
Игман Коньич;11;2;6;3;8;-6
Звиезда Градакач;11;5;5;1;13;4
Вестерн Сидней U20;11;7;4;0;27;7
Саутерн Юн;11;4;7;0;20;-15
Херлуфсхольм (ж);11;8;2;1;31;21
Фото-Хигена;11;1;8;2;14;-15
Блэк Старз;11;3;6;2;15;-6
Ассириска Норрчепинг;11;2;9;0;15;-15
Энгельхольм;11;6;3;2;16;7
Титтео;11;3;6;2;19;-6
Троса-Вагнхерад;11;3;5;3;16;-11
Брегенц;11;4;6;1;19;-9
Интер Добрич;11;1;9;1;11;-46
Академия Ботев Враца;11;8;1;2;29;19
Партизан Червен Бряг;11;8;2;1;20;9
Севлиево;11;5;3;3;22;7
Левски 2020 Лом;11;9;0;2;29;26
Уников;11;6;4;1;39;22
Малкия;11;4;4;3;19;3
Кейп Умоя Юнайтед;11;1;5;5;7;-6
Централ Кост ФК;11;7;1;3;17;12
Орхус 1900 (ж);11;3;7;1;19;-11
Раднички 1923 (ж);11;2;7;2;13;-20
Коломбо;11;8;2;1;28;18
Нонтхабури Юнайтед;11;6;2;3;33;11
Дамаста;11;4;5;2;13;0
Дебрецен ВСК-2;11;4;5;2;19;4
Вешпрем;11;6;1;4;20;9
Ранхейм U19;11;6;2;3;42;18
Стриндхейм U19;11;9;2;0;41;22
Фужинар;11;5;5;1;31;11
Витанест Билье;11;6;3;2;21;4
Кршко;11;3;7;1;11;-12
Тоструп;11;3;5;3;8;-6
Орхус-Фремад-2;11;4;4;3;24;2
Кингсклифф;11;7;0;4;29;22
Герта-2;11;3;3;5;12;-3
Карл Цейсс-2;11;0;7;4;6;-14
Аведоре;11;3;6;2;17;-5
Скьельд Биркерод;11;3;6;2;6;-18
Морава Владичин;11;1;9;1;8;-25
ОФК Топлицанин;11;4;4;3;16;-5
Сьон-2;11;4;6;1;13;-3
Сендерийске U19;11;0;11;0;12;-24
Дьер ЭТО (ж);11;0;9;2;7;-49
Блау-Вайс Цорбау;11;3;7;1;12;-10
Йошаника;11;3;5;3;12;-3
Илирия Любляна;11;10;1;0;30;22
Высочина Йиглава-2;11;1;10;0;11;-19
Марицбург Юн;11;0;8;3;9;-10
Мартве (ж);11;6;4;1;35;9
Гром Варшава;11;7;2;2;39;24
Блау-Вайс 90 Берлин;11;5;2;4;19;10
БСК 1933;11;5;2;4;15;5
Жувентус СП;11;1;5;5;8;-10
Атибайя;11;2;4;5;9;-2
Рио-Бранко АК;11;7;1;3;26;16
СВ Шпитталь;11;2;6;3;10;-13
КСА Стяуа Бухарест;11;10;1;0;31;23
Равенсбург;11;4;2;5;22;8
Виллинген;11;4;3;4;10;1
Брухзаль;11;3;5;3;16;-7
Омладинац Нови Бановци;11;4;3;4;18;8
Цукуба (ж);11;2;7;2;10;-17
Магве;11;3;7;1;18;-15
Шан Юн;11;11;0;0;32;24
Саутерн Мьянма;11;2;6;3;7;-10
Монори;11;5;4;2;17;-2
Славония Пожега;11;5;3;3;18;4
Айеявади Юн;11;7;2;2;33;20
Ракхайн Юн;11;1;8;2;8;-16
Яданарбон;11;5;5;1;23;6
Пансерраикос;11;6;3;2;11;8
Лафборо Динамо;11;6;4;1;19;3
Эрди;11;5;3;3;13;-1
Неттинген;11;7;2;2;25;9
Пршеперже;11;7;3;1;21;3
Гремио Осаско Одакс (ж);11;2;8;1;3;-42
Вязовница;11;3;5;3;13;-4
Умраниеспор U19;11;3;3;5;17;3
Слован Хуттельдорф;11;0;8;3;10;-28
Оберахерн;11;3;6;2;11;-10
Дравоград;11;4;7;0;16;-11
Верона (ж);11;2;7;2;8;-5
Врапче Загреб;11;5;3;3;19;2
Бромсгров;11;3;6;2;12;-8
Бродарац-2 U19;11;6;5;0;21;-4
Фарнборо;11;2;7;2;10;-11
Теспротос;11;1;7;3;8;-10
Молдова;11;0;8;3;3;-27
Фареры;11;3;4;4;12;-7
Латвия;11;2;3;6;16;4
Ижорец Колпино U21;11;4;6;1;17;3
Норвегия;11;5;3;3;19;8
Сев. Ирландия;11;1;5;5;9;-6
Шотландия;11;4;2;5;13;5
Беларусь;11;4;5;2;18;-7
Гейнсборо;11;4;7;0;15;-9
Аустрия XIII;11;4;3;4;21;8
Минск ФК;11;6;4;1;24;7
Дебрецен U19;11;5;4;2;12;-4
Эссен Драйайх;11;9;1;1;35;24
Поседарье;11;4;5;2;14;-8
Варна (ж);11;5;6;0;18;-7
Хафельзе;11;6;3;2;24;8
ГСК Ганновер;11;2;9;0;14;-13
Клеве ФК;11;7;3;1;24;7
Шварц-Вайсс Эссен;11;4;5;2;17;3
Унион Неттеталь;11;2;4;5;14;-3
